;2019;;;2020;;;2021;;;2022;;;2023;;;2024;;
;Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone)
Radlje ob Dravi;2690,16;1757,94;308,24;2466,35;1832,47;253,63;2223,57;1801,06;285,15;2309,82;1673,66;243,12;2238,53;1650,80;351,91;2767,52;1769,87;326,83
Radovljica;9775,85;6903,18;1621,18;8479,08;6824,68;1278,45;8705,13;6901,95;1337,91;8844,82;7035,80;1342,49;9498,92;7756,32;1311,81;9382,67;7586,30;1202,13
Ravne na Koroškem;4606,77;2900,77;536,33;3873,13;2887,50;388,92;3883,34;3041,75;414,30;3877,46;3071,01;358,49;4651,13;3582,52;543,55;4199,99;2979,49;508,91
Razkrižje;501,96;310,63;57,93;405,97;325,64;57,01;375,53;326,42;45,40;350,03;312,52;26,94;355,38;316,02;22,12;387,34;309,21;21,72
Rečica ob Savinji;996,80;645,05;86,49;780,67;649,70;73,01;795,27;738,61;75,19;783,19;736,81;66,13;1856,05;1779,87;57,48;783,32;702,52;59,79
Renče - Vogrsko;2369,86;1711,59;88,35;2191,77;1847,04;58,15;2172,37;1903,69;3,52;2033,11;1702,52;1,48;2223,13;1715,34;0,18;2073,61;1725,54;11,92
Ribnica;4220,67;2786,37;134,25;3648,35;2914,26;131,30;3573,75;2791,67;117,69;3704,49;2666,84;114,33;3491,97;2712,30;260,61;3687,18;2701,67;239,08
Ribnica na Pohorju;395,92;226,30;65,92;295,64;226,99;53,85;294,45;229,30;60,44;286,16;218,23;51,42;361,01;250,13;74,28;375,90;271,92;91,97
Rogaška Slatina;4364,91;2686,96;249,74;3953,83;2987,08;235,66;4057,28;3113,56;247,34;4155,17;2982,01;188,40;4004,31;3132,22;198,56;3867,55;3034,43;168,78
Rogašovci;1017,43;554,56;86,32;808,81;634,70;87,44;755,49;624,00;76,94;805,80;605,62;45,52;847,84;660,47;44,20;935,58;669,45;39,38
Rogatec;1036,90;570,41;52,14;800,03;628,34;49,46;769,66;656,84;51,74;765,58;622,01;37,19;715,08;605,08;40,23;779,74;602,07;35,10
Ruše;3790,61;2729,47;41,32;3717,17;3210,42;-;3419,00;2897,89;38,00;3403,22;2757,41;20,00;3345,06;2764,99;0,04;3830,40;3133,08;-
Selnica ob Dravi;1892,86;1217,55;19,05;1160,23;832,31;-;1560,05;1313,14;18,00;1510,69;1271,65;10,00;1584,62;1382,74;-;1098,36;850,51;-
Semič;1716,94;1138,28;103,78;1467,10;1211,84;92,32;1461,56;1247,84;74,51;1718,79;1233,89;115,16;1744,44;1269,50;142,57;1560,39;1281,66;189,07
Sevnica;8095,47;5443,99;275,65;7183,89;5546,97;122,59;7605,22;5454,02;162,95;6779,28;5325,65;295,80;7266,26;5477,62;184,73;7871,21;5536,55;136,20
Sežana;6556,24;4517,19;37,19;5543,00;4407,09;387,34;5575,77;4287,33;401,76;5581,74;4264,93;548,40;5931,95;4548,51;1105,26;5977,37;4594,61;1159,89
Slovenj Gradec;7739,82;5237,14;711,77;6618,30;4812,66;576,78;7143,09;4901,91;682,75;7446,07;5072,79;607,03;8194,47;5211,08;925,13;8026,53;5558,38;870,21
Slovenska Bistrica;11140,62;7267,27;709,13;9780,37;7749,30;647,26;10467,08;7503,41;720,12;11082,36;8482,98;916,29;12329,88;9592,57;816,37;12177,02;9177,33;747,95
Slovenske Konjice;6998,38;4737,85;375,21;6184,95;5061,46;363,99;8031,98;5179,30;382,51;6604,60;5079,84;324,34;6910,39;5415,13;307,65;6933,56;5543,84;301,69
Sodražica;895,31;564,97;19,78;708,20;574,47;21,82;681,48;577,83;19,23;635,59;542,02;19,77;802,12;569,16;47,30;685,52;554,11;48,93
Solčava;247,36;169,41;13,64;173,72;144,91;11,27;150,38;137,91;11,13;160,37;151,99;11,33;205,01;186,11;10,62;201,06;184,21;10,41
Središče ob Dravi;758,54;464,39;68,31;585,67;475,21;65,81;613,39;517,40;67,89;552,33;467,38;35,98;582,50;514,93;32,07;616,84;507,31;28,55
Starše;2088,37;1483,62;19,97;2384,87;2154,98;-;1687,19;1552,04;18,00;1849,38;1636,00;20,00;1883,87;1667,18;-;2332,00;1817,57;2,60
Straža;1670,91;1081,08;41,36;1313,62;1066,68;44,84;1377,39;1186,82;73,14;1327,89;1108,43;86,02;1940,60;1241,50;112,81;1599,36;1357,06;122,51
Sveta Ana;784,28;437,96;31,95;614,19;480,63;163,47;510,67;427,53;114,13;557,81;459,90;59,67;680,63;434,61;30,44;635,43;475,12;46,83
Sveta Trojica v Slov. goricah;760,94;446,88;83,85;667,07;537,84;56,61;601,86;512,21;69,60;685,24;530,88;52,72;693,48;537,81;33,37;775,66;586,48;48,78
Sveti Andraž v Slov. goricah;438,51;259,54;27,37;316,85;251,40;11,74;297,76;268,77;7,00;542,23;269,75;5,00;283,33;250,65;7,54;344,35;224,27;8,12
Sveti Jurij ob Ščavnici;878,66;458,30;64,66;846,11;573,41;61,85;1030,14;827,43;67,71;750,12;541,57;43,17;843,61;594,86;48,04;996,13;678,34;50,44
Sveti Jurij v Slov. goricah;657,58;343,52;41,90;529,31;412,74;56,89;464,80;405,51;48,21;930,26;392,90;44,80;474,84;378,92;26,67;504,40;422,18;32,86
Sveti Tomaž;593,73;292,48;44,64;470,27;311,40;45,20;435,24;333,48;43,12;463,07;332,71;20,31;471,56;342,42;20,61;433,16;330,54;21,34
Šalovci;454,34;245,82;41,41;326,21;250,28;41,62;325,47;272,29;46,96;323,87;258,67;19,88;365,95;271,23;18,96;430,77;309,86;19,72
Šempeter - Vrtojba;4344,01;3402,73;144,48;4421,64;3647,96;96,69;4045,72;2838,46;131,57;4420,22;3194,93;142,14;4813,47;2979,74;149,16;4640,24;2914,54;127,95
Šenčur;4022,48;2702,32;74,08;3393,01;2793,37;76,74;4163,60;2578,41;70,00;3078,99;2589,31;74,97;3910,38;2788,84;179,84;3535,92;2919,51;208,18
Šentilj;4019,58;2754,44;60,38;3031,58;2427,56;-;3391,37;2699,45;40,66;3466,95;2728,64;314,31;3055,15;2311,01;97,35;4494,81;3073,53;289,02
Šentjernej;3137,80;2058,72;424,66;2541,67;2028,10;39,62;2777,59;2245,79;128,85;2695,75;2073,88;174,91;2796,04;2147,55;212,63;2862,35;2296,67;255,42
Šentjur;9393,63;6500,91;602,05;6680,96;5403,63;482,13;7245,81;6204,62;494,56;7595,45;6186,87;425,31;8136,03;6326,58;521,09;5809,66;4688,01;408,88
Šentrupert;1149,02;700,02;3,72;905,99;710,25;45,77;1073,36;708,10;45,00;1161,08;696,24;72,56;1171,08;731,13;52,32;1108,77;759,67;51,66
Škocjan;1410,96;909,19;34,15;1056,55;855,64;37,07;1161,96;1023,86;58,38;1384,13;938,98;81,14;1413,78;1032,28;99,13;1255,79;1027,90;99,09
Škofja Loka;10578,31;7077,97;779,33;9404,65;6443,60;902,31;12821,12;6919,13;863,17;11605,67;6671,60;902,31;12217,36;7221,27;809,47;13012,78;6870,72;866,25
Škofljica;4212,20;2490,53;115,10;3653,31;2774,82;104,00;3544,45;2806,62;78,50;3084,65;2615,84;103,23;3426,01;2716,83;229,22;3642,67;2872,76;240,71
Šmarje pri Jelšah;4663,00;3113,36;299,70;3453,29;2761,57;218,27;3635,10;2867,91;214,70;3562,55;2767,37;175,34;4517,10;2843,44;183,21;3625,98;2918,85;152,10
Šmarješke Toplice;1491,49;978,86;38,77;1233,84;956,50;44,07;1370,68;1111,17;74,15;1265,65;1032,11;84,86;1539,73;1134,57;100,85;1473,91;1170,56;112,25
Šmartno ob Paki;1374,01;880,84;64,63;1115,60;926,70;57,09;988,08;877,27;44,15;1343,25;947,54;58,06;1403,79;1064,88;62,24;1245,69;1030,57;51,58
Šmartno pri Litiji;2110,59;1261,89;70,39;1724,78;1304,94;85,85;2127,91;1372,87;54,40;1607,38;1200,99;60,81;1606,89;1170,86;105,91;1838,57;1434,65;92,90
Šoštanj;3829,34;2512,34;246,25;3092,28;2489,04;195,76;2955,96;2448,23;189,78;3109,43;2448,97;172,78;3286,08;2645,30;174,85;3165,55;2592,93;156,72
Štore;2394,53;1704,60;186,38;2035,90;1687,92;174,58;2178,63;1751,27;185,24;2517,00;1949,90;168,33;2543,61;2055,45;213,86;2288,94;1705,17;164,59
Tabor;727,77;477,64;43,20;587,94;484,45;34,85;510,87;460,56;35,72;596,78;548,77;28,96;805,44;615,29;34,85;437,00;357,55;25,42
Tišina;1654,13;1055,56;196,73;1396,09;1169,93;238,92;1285,72;1166,91;176,79;1515,50;1148,54;104,03;1409,51;1164,82;87,56;1574,13;1185,57;83,92
Tolmin;5090,92;3427,75;733,23;3947,95;3235,88;358,29;3840,43;3303,88;167,81;3611,29;3186,16;410,12;4326,93;3346,24;478,27;4084,60;3386,98;401,95
Trbovlje;8551,26;6133,32;1337,15;7575,76;6340,00;1252,82;8961,40;6102,82;860,49;7967,68;5995,29;843,38;8908,18;6119,38;1912,87;8603,33;6325,95;2239,35
Trebnje;4825,38;2862,63;14,98;4161,99;3099,43;140,65;4381,47;3026,67;46,70;4549,62;3019,02;206,52;4527,65;3177,46;32,55;4899,30;3321,48;411,98
Trnovska vas;533,33;329,79;24,67;441,07;345,62;12,15;507,06;414,68;7,25;756,78;392,28;5,00;520,89;420,62;29,61;511,38;430,09;8,14
Trzin;3502,73;2911,25;116,01;3402,92;2946,05;136,01;3553,96;2555,97;111,20;4210,58;3126,91;99,69;4680,08;2846,59;224,89;4808,45;2654,73;202,57
Tržič;6083,49;3839,39;706,89;4595,87;3242,55;551,29;5154,06;4252,44;762,66;6403,71;4346,60;546,29;6644,32;4366,87;353,01;5542,44;4569,99;370,37
Turnišče;1230,48;752,53;129,64;1008,07;798,10;117,88;967,36;746,99;102,48;1031,32;775,36;55,61;1550,51;793,49;48,31;1927,62;803,89;45,84
Velenje;16928,13;11876,34;1024,37;19564,99;13325,25;915,25;26536,67;11845,95;928,03;24094,37;11447,80;771,81;25735,94;11957,60;828,37;27173,06;11554,35;671,74
Velika Polana;532,13;319,24;48,83;417,99;339,01;50,25;385,87;342,41;55,61;560,94;407,95;34,28;542,37;310,66;30,79;713,51;306,86;28,30
Velike Lašče;1631,14;970,30;45,52;1338,96;1081,64;61,91;1345,19;1216,28;60,67;1293,81;1158,72;60,35;1376,79;1248,83;142,30;1553,13;1383,52;167,94
Veržej;697,93;503,43;80,44;615,03;493,14;78,09;675,49;511,68;73,42;656,85;497,74;42,30;688,03;534,84;38,04;736,04;536,79;37,51
Videm;1972,90;1130,53;104,75;1609,31;1263,61;50,58;1593,79;1346,31;45,41;1508,14;1230,09;40,00;1881,64;1419,72;5,77;1694,47;1407,29;34,88
Vipava;2822,68;1973,23;69,32;2778,50;2374,96;79,32;2897,83;2525,32;67,74;3984,88;3627,73;66,72;2772,90;2444,66;152,90;2576,73;2122,93;159,84
Vitanje;658,31;318,17;59,63;605,10;476,06;57,13;724,00;651,16;468,32;635,75;468,24;33,85;924,87;422,47;48,64;585,14;469,26;78,36
Vodice;2442,32;1693,88;58,90;1889,24;1590,15;67,86;1904,08;1726,72;61,61;1982,35;1645,45;61,42;2630,60;1793,69;145,81;2206,76;1898,66;140,97
Vojnik;4560,24;3226,50;233,52;4038,93;3443,29;217,98;4563,00;4056,73;189,06;4357,38;3425,52;164,52;4722,62;3784,03;217,53;4211,56;3624,41;156,36
Vransko;1293,27;898,24;83,76;1110,17;895,76;68,64;1027,46;819,16;65,60;1215,42;983,63;61,23;1294,12;1032,65;75,88;1362,99;1067,01;65,22
Vrhnika;9087,72;6456,44;111,64;8058,01;6589,54;123,36;7764,93;6613,05;112,91;7726,68;6435,78;110,28;7179,03;6225,51;266,01;7842,82;6569,57;265,56
Vuzenica;982,61;583,36;111,55;793,25;611,77;92,34;688,32;569,68;103,92;732,64;547,66;88,72;848,44;612,20;129,48;865,74;634,95;120,56
Zagorje ob Savi;7851,18;5370,52;1238,80;6900,49;5528,73;1191,42;6501,23;5544,06;1430,97;6007,17;5285,27;1484,92;6196,49;5182,62;2120,32;6685,94;5343,78;2234,68
Zavrč;442,68;211,54;18,84;316,31;234,42;9,48;280,99;244,34;5,00;280,02;214,31;5,00;316,45;228,75;5,34;304,54;200,19;6,45
Zreče;2587,14;1606,37;199,56;2217,43;1595,34;163,73;3087,73;2164,41;140,63;2898,97;1826,31;218,46;2520,23;1476,83;136,96;3017,39;2093,04;308,78
Žalec;11030,50;7800,20;734,48;10683,67;8513,61;698,53;11803,74;9370,74;696,95;11603,48;8868,37;575,96;13652,92;10591,35;702,06;11123,83;8822,23;525,65
Železniki;2315,93;1305,90;146,85;1928,02;1278,71;11,23;1877,40;1307,18;97,20;1741,41;1230,26;100,00;1700,44;1257,36;212,51;1752,98;1207,35;144,33
Žetale;458,67;263,12;19,64;332,49;258,70;9,32;335,88;295,82;5,50;321,71;277,81;5,00;323,84;276,82;11,66;355,65;284,38;6,48
Žiri;2339,45;1598,40;72,04;1830,19;1235,69;72,21;1810,07;1226,43;43,83;2009,28;1539,42;45,30;2014,12;1493,14;105,70;2054,82;1450,50;110,07
Žirovnica;1965,43;1304,44;388,22;2695,93;2432,94;468,80;2090,77;1876,76;484,46;2176,58;1899,73;406,18;2149,54;1835,95;429,54;2119,19;1831,48;321,21
Žužemberk;2072,96;1372,17;87,49;1613,56;1316,97;73,94;1675,27;1492,94;90,13;1501,67;1305,30;107,01;1694,57;1504,62;139,94;1799,52;1574,27;169,35
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Podatkovna baza:;;;;;;;;;;;;;;;;;;
SI-STAT;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
ID tabele:;;;;;;;;;;;;;;;;;;
2706104S;;;;;;;;;;;;;;;;;;
