;2019;;;2020;;;2021;;;2022;;;2023;;;2024;;
;Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone);Nastali komunalni odpadki (tone);Komunalni odpadki, zbrani z javnim odvozom (tone);Odloženi komunalni odpadki (tone)
Dobrovnik/Dobronak;510,87;316,82;51,72;412,15;341,31;47,10;411,97;353,48;50,36;456,89;320,67;19,68;456,80;343,29;20,80;555,00;368,46;19,71
Dol pri Ljubljani;2237,54;1288,43;71,28;1997,57;1448,74;67,93;2182,74;1410,45;59,09;2008,92;1260,38;54,54;3030,10;1350,75;123,49;2063,12;1352,75;126,82
Dolenjske Toplice;1600,01;1068,54;34,83;1251,49;1037,39;56,98;1389,74;1156,97;66,73;1274,40;1028,85;79,08;1457,19;1175,83;102,27;1530,13;1283,38;134,35
Domžale;19942,96;14450,47;688,62;19296,54;14763,52;680,07;19889,21;16192,96;565,93;17667,20;14378,62;525,29;22037,15;18341,06;1216,06;19019,07;14718,93;1120,14
Dornava;1074,79;638,45;76,83;1114,29;914,36;29,05;1036,38;929,43;47,52;998,24;837,69;30,08;1004,86;824,79;-;1166,30;997,69;50,45
Dravograd;3549,21;2215,03;336,07;3277,56;2397,36;283,67;4761,90;2417,57;333,43;3572,37;2266,28;294,82;4201,05;2573,21;443,46;12085,80;10740,90;409,84
Duplek;3042,05;1993,43;156,00;2340,25;1938,15;66,81;2257,38;2023,55;100,00;2136,78;1852,25;40,00;2383,74;2108,56;38,77;2700,76;2244,73;46,30
Gorenja vas - Poljane;2439,78;1299,94;36,28;1833,97;1330,84;38,70;1867,60;1352,64;35,23;1758,34;1313,82;35,46;2029,27;1553,70;83,50;1964,91;1420,27;94,36
Gorišnica;1750,99;1133,28;78,36;1467,34;1206,86;40,36;1482,06;1285,94;50,00;1528,66;1228,06;30,00;1584,58;1265,11;-;1684,17;1299,25;13,54
Gorje;1195,54;780,77;128,85;1068,88;888,09;95,81;952,39;824,32;90,03;997,59;790,82;76,82;1093,38;950,65;82,06;1004,15;873,79;71,40
Gornja Radgona;3675,76;2409,12;552,98;3379,57;2517,55;376,69;4601,31;3459,90;383,75;4552,04;3236,83;227,77;4789,36;3338,20;216,95;4627,54;3044,76;177,98
Gornji Grad;972,60;594,77;62,26;770,21;627,65;53,12;753,80;668,91;53,94;661,51;578,49;44,70;1602,07;1520,23;47,61;1280,56;1147,23;43,16
Gornji Petrovci;649,73;349,40;50,01;478,85;357,28;45,11;520,67;392,56;48,33;533,32;364,34;28,99;521,63;381,73;27,81;587,64;424,01;25,21
Grad;748,92;437,88;68,68;561,84;448,33;62,41;542,61;459,69;60,58;598,41;419,58;31,67;518,60;431,70;25,71;579,75;424,66;22,59
Grosuplje;10498,72;7292,55;463,89;9134,03;7558,47;662,74;8902,25;7399,18;505,00;9142,83;7444,30;409,39;9368,35;7717,53;471,67;10518,62;8874,36;1059,78
Hajdina;1844,75;1264,28;85,40;1607,89;1375,47;44,53;1606,48;1446,46;65,10;1717,03;1427,38;40,00;1817,39;1507,64;2,43;2053,86;1566,02;14,35
Hoče - Slivnica;4975,13;3188,78;208,61;4608,14;3715,49;357,53;11658,92;4000,70;176,45;11191,77;4649,76;68,87;10243,08;4976,02;52,82;11985,98;5014,41;2,48
Hodoš/Hodos;162,72;108,75;15,12;131,86;112,37;13,15;120,11;104,00;13,96;102,67;96,93;7,80;112,14;92,06;7,09;125,04;107,63;7,51
Horjul;1189,67;732,53;41,73;949,54;710,08;39,34;966,91;773,77;34,63;844,48;662,72;31,26;848,21;654,82;61,58;927,14;686,29;66,02
Hrastnik;4251,00;2872,94;725,46;4221,85;2993,00;696,00;4027,64;3101,16;847,07;4694,92;2813,28;1034,14;3930,18;2873,97;1246,43;4087,15;2969,12;1294,42
Hrpelje - Kozina;2394,45;1710,85;12,58;1924,04;1495,23;10,55;2007,65;1555,98;10,00;2051,89;1569,38;10,00;2216,19;1751,03;-;2239,43;1768,45;-
Idrija;5279,30;3500,64;208,58;5303,23;4024,56;164,44;4727,37;3812,18;139,15;4585,44;3626,96;132,89;4392,03;3425,25;307,96;4696,90;3584,74;301,57
Ig;3095,46;1953,05;85,34;2715,36;2155,95;101,00;2545,80;2159,36;90,76;2346,10;1916,02;85,53;3398,81;2000,95;188,37;2496,07;2032,83;194,54
Ilirska Bistrica;5843,18;3839,42;1086,28;4885,74;3840,16;839,54;5221,59;4146,42;807,68;4700,60;3787,96;828,71;4748,25;3863,51;929,53;4764,32;3706,90;639,04
Ivančna Gorica;6857,13;4312,09;218,62;6371,80;5060,33;356,89;5963,13;4771,96;287,42;5915,41;4842,88;206,29;6090,84;4979,24;310,33;6314,40;4941,25;567,71
Izola/Isola;10697,94;8230,24;420,13;9472,27;8112,01;795,58;9225,73;8101,00;773,12;9430,14;8088,84;639,49;9423,56;8153,34;674,88;9482,43;8177,66;577,27
Jesenice;10861,67;7670,11;2146,98;13428,44;11911,57;4295,90;12275,68;8903,87;2188,48;9734,85;8025,19;11247,34;10024,56;8108,53;2554,24;10286,43;8348,98;1485,62
Jezersko;297,11;201,37;8,89;193,71;150,47;5,02;239,53;207,41;6,67;248,05;186,24;10,49;256,33;224,52;31,83;233,10;193,26;17,15
Juršinci;917,07;560,19;45,95;728,70;591,16;24,03;617,96;532,66;15,00;747,75;614,32;10,00;699,49;567,86;-;759,67;582,38;9,64
Kamnik;15996,34;11496,23;1623,20;14425,25;12040,84;346,68;14272,58;11957,93;300,69;12799,09;10910,46;346,09;19486,71;17472,68;1343,55;17121,47;14738,94;2490,09
Kanal;2763,20;1963,51;17,31;2776,19;2176,45;53,25;2755,34;2267,74;5,70;2761,97;2071,53;3,07;2499,28;1962,91;0,35;2846,47;2017,25;28,95
Kidričevo;3528,50;2548,93;174,63;2587,91;2077,19;76,40;3412,37;2401,83;45,00;3148,09;2246,86;30,00;3075,18;2287,34;56,41;3455,36;2412,64;61,18
Kobarid;2190,51;1575,66;-;1775,64;1492,72;31,03;1699,93;1538,15;30,00;1651,43;1486,64;30,00;1703,99;1554,09;-;1811,95;1566,14;-
Kobilje;191,08;108,91;18,34;152,02;121,20;17,83;146,93;118,52;14,45;141,39;117,31;9,41;210,81;116,93;7,53;169,42;124,03;7,33
Kočevje;7562,19;5196,88;508,00;6134,04;5012,32;324,50;8492,30;5085,30;318,77;7994,75;5293,39;538,33;7316,55;5495,23;1189,30;7047,82;5508,08;1476,28
Komen;1354,62;819,98;10,14;1431,00;1211,23;8,51;1350,24;1205,54;8,00;1363,29;1206,51;10,00;1797,44;1255,92;-;1422,08;1238,66;-
Komenda;3971,94;3015,29;486,13;3692,10;3148,53;96,12;3492,50;2786,60;441,10;3077,00;2338,96;1461,79;6468,53;5451,95;804,83;4661,85;3437,38;3204,60
Koper/Capodistria;31596,62;23675,03;1446,54;31058,92;23429,59;1427,32;30882,12;23790,69;1140,80;29798,23;22751,69;1489,80;31263,96;23658,65;1988,97;31153,41;23772,99;1602,37
Kostanjevica na Krki;1084,75;716,12;11,34;870,37;616,07;10,73;1181,83;651,49;11,30;1172,15;641,14;8,87;1269,00;844,46;11,40;1158,44;668,50;12,91
Kostel;279,82;182,87;-;204,38;167,05;3,42;205,89;176,87;-;203,56;177,84;-;316,92;197,35;-;233,01;193,60;-
Kozje;1188,20;727,89;70,14;899,34;727,07;57,19;884,12;755,24;62,73;797,46;659,92;42,80;866,52;676,47;46,16;863,55;714,97;39,27
Kranj;38118,58;29567,51;668,15;31236,13;19839,05;649,90;38105,21;31057,61;577,01;39052,52;33229,70;573,24;23364,92;18200,80;1363,69;24108,64;18550,75;1382,80
Kranjska Gora;3171,89;2386,97;568,77;2893,16;2422,26;522,88;3001,21;2481,97;550,96;3238,71;2664,08;578,73;3620,79;2899,92;752,81;3429,26;2739,20;485,65
Križevci;1601,52;1067,04;193,51;1470,98;1125,69;193,99;1404,25;1141,30;167,32;1319,93;1069,22;90,80;1444,01;1090,92;79,62;1485,34;1110,56;82,12
Krško;14360,19;10422,47;163,96;13711,25;10526,76;150,16;14392,49;11006,95;143,75;14758,42;11735,47;113,42;16441,04;12821,61;476,53;16683,07;11403,85;5603,30
Kungota;2261,96;1548,20;26,22;1831,10;1522,58;19,87;1743,24;1546,54;35,25;1881,94;1664,83;20,00;1890,24;1592,81;-;1936,59;1677,82;-
Kuzma;502,45;265,13;39,92;426,72;334,87;42,63;457,01;370,11;48,81;481,08;365,46;27,92;589,32;382,23;23,33;553,05;404,23;23,53
Laško;5877,14;3913,63;646,27;4731,71;3702,61;419,47;4569,22;3684,24;425,38;4599,51;3651,68;359,84;6237,81;4476,18;388,24;4986,22;3918,32;338,39
Lenart;3885,92;2612,94;247,93;3365,99;2591,91;1271,37;4233,70;3252,09;295,82;3988,25;3076,74;277,39;5832,75;2853,93;652,49;4933,01;3915,23;281,76
Lendava/Lendva;4752,27;3174,59;519,36;4114,71;3081,31;528,38;6104,37;3113,16;542,93;3728,36;2726,72;292,17;5054,61;2843,97;255,21;5539,61;2950,89;252,98
Litija;6297,47;3971,20;930,38;5920,78;4511,12;816,79;5214,09;4334,89;1008,73;5131,05;4314,76;1036,93;6697,61;5307,74;1869,92;8683,98;4829,95;1868,82
Ljubljana;169020,75;124676,58;5732,15;194180,25;115720,10;9553,27;206371,39;121702,16;7318,25;196819,38;121077,57;7946,75;191754,56;123122,14;14664,61;211920,40;129529,07;13287,50
Ljubno;849,19;465,17;53,41;723,17;480,67;46,04;702,73;505,78;42,68;814,49;482,09;34,82;1999,61;1722,34;37,78;939,88;682,11;33,51
